OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE,CBS_ID,HLCIT_ID,PCODE
1,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,10105.0,524 1 01 4 006,NP0101406
2,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,10104.0,524 1 01 4 005,NP0101405
3,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,10103.0,524 1 01 4 004,NP0101404
4,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,10102.0,524 1 01 4 002,NP0101402
5,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,10101.0,524 1 01 4 001,NP0101401
6,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,10106.0,524 1 01 3 001,NP0101301
7,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,10109.0,524 1 01 4 008,NP0101408
8,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,10108.0,524 1 01 4 003,NP0101403
9,Pathibhara Yangwarak Gaunpalika,TAPLEJUNG,Pathibhara Yangwarak,Gaunpalika,1,10107.0,524 1 01 4 007,NP0101407
10,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,10903.0,524 1 02 4 003,NP0102403
11,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,10905.0,524 1 02 4 005,NP0102405
12,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,10902.0,524 1 02 4 001,NP0102401
13,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,10906.0,524 1 02 4 004,NP0102404
14,Miklajung Gaunpalika,PANCHTHAR,Miklajung,Gaunpalika,1,10908.0,524 1 02 4 007,NP0102407
15,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,10904.0,524 1 02 3 001,NP0102301
16,Tumbewa Gaunpalika,PANCHTHAR,Tumbewa,Gaunpalika,1,10907.0,524 1 02 4 006,NP0102406
17,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,10901.0,524 1 02 4 002,NP0102402
18,Chulachuli Gaunpalika,ILAM,Chulachuli,Gaunpalika,1,11007.0,524 1 03 4 004,NP0103404
19,Deumai Nagarpalika,ILAM,Deumai,Nagarpalika,1,11004.0,524 1 03 3 001,NP0103301
20,Fakphokthum Gaunpalika,ILAM,Fakphokthum,Gaunpalika,1,11005.0,524 1 03 4 001,NP0103401
21,Illam Nagarpalika,ILAM,Illam,Nagarpalika,1,11003.0,524 1 03 3 002,NP0103302
22,Mai Nagarpalika,ILAM,Mai,Nagarpalika,1,11008.0,524 1 03 3 004,NP0103304
23,Maijogmai Gaunpalika,ILAM,Maijogmai,Gaunpalika,1,11001.0,524 1 03 4 003,NP0103403
24,Mangsebung Gaunpalika,ILAM,Mangsebung,Gaunpalika,1,11006.0,524 1 03 4 005,NP0103405
25,Rong Gaunpalika,ILAM,Rong,Gaunpalika,1,11010.0,524 1 03 4 006,NP0103406
26,Sandakpur Gaunpalika,ILAM,Sandakpur,Gaunpalika,1,11002.0,524 1 03 4 002,NP0103402
27,Suryodaya Nagarpalika,ILAM,Suryodaya,Nagarpalika,1,11009.0,524 1 03 3 003,NP0103303
28,Arjundhara Nagarpalika,JHAPA,Arjundhara,Nagarpalika,1,11103.0,524 1 04 3 004,NP0104304
29,Barhadashi Gaunpalika,JHAPA,Barhadashi,Gaunpalika,1,11111.0,524 1 04 4 005,NP0104405
30,Bhadrapur Nagarpalika,JHAPA,Bhadrapur,Nagarpalika,1,11114.0,524 1 04 3 008,NP0104308
31,Birtamod Nagarpalika,JHAPA,Birtamod,Nagarpalika,1,11112.0,524 1 04 3 007,NP0104307
32,Buddhashanti Gaunpalika,JHAPA,Buddhashanti,Gaunpalika,1,11102.0,524 1 04 4 002,NP0104402
33,Damak Nagarpalika,JHAPA,Damak,Nagarpalika,1,11107.0,524 1 04 3 001,NP0104301
34,Gauradhaha Nagarpalika,JHAPA,Gauradhaha,Nagarpalika,1,11108.0,524 1 04 3 006,NP0104306
35,Gauriganj Gaunpalika,JHAPA,Gauriganj,Gaunpalika,1,11109.0,524 1 04 4 003,NP0104403
36,Haldibari Gaunpalika,JHAPA,Haldibari,Gaunpalika,1,11113.0,524 1 04 4 006,NP0104406
37,Jhapa Gaunpalika,JHAPA,Jhapa,Gaunpalika,1,11110.0,524 1 04 4 004,NP0104404
38,Kachankawal Gaunpalika,JHAPA,Kachankawal,Gaunpalika,1,11115.0,524 1 04 4 007,NP0104407
39,Kamal Gaunpalika,JHAPA,Kamal,Gaunpalika,1,11106.0,524 1 04 4 001,NP0104401
40,Kankai Nagarpalika,JHAPA,Kankai,Nagarpalika,1,11104.0,524 1 04 3 003,NP0104303
41,Mechinagar Nagarpalika,JHAPA,Mechinagar,Nagarpalika,1,11101.0,524 1 04 3 005,NP0104305
42,Shivasataxi Nagarpalika,JHAPA,Shivasataxi,Nagarpalika,1,11105.0,524 1 04 3 002,NP0104302
43,Belbari Nagarpalika,MORANG,Belbari,Nagarpalika,1,11205.0,524 1 05 3 003,NP0105303
44,Biratnagar Mahanagarpalika,MORANG,Biratnagar,Mahanagarpalika,1,11214.0,524 1 05 1 001,NP0105101
45,Budhiganga Gaunpalika,MORANG,Budhiganga,Gaunpalika,1,11213.0,524 1 05 4 004,NP0105404
46,Dhanpalthan Gaunpalika,MORANG,Dhanpalthan,Gaunpalika,1,11216.0,524 1 05 4 008,NP0105408
47,Gramthan Gaunpalika,MORANG,Gramthan,Gaunpalika,1,11212.0,524 1 05 4 005,NP0105405
48,Jahada Gaunpalika,MORANG,Jahada,Gaunpalika,1,11217.0,524 1 05 4 007,NP0105407
49,Kanepokhari Gaunpalika,MORANG,Kanepokhari,Gaunpalika,1,11206.0,524 1 05 4 003,NP0105403
50,Katahari Gaunpalika,MORANG,Katahari,Gaunpalika,1,11215.0,524 1 05 4 006,NP0105406
51,Kerabari Gaunpalika,MORANG,Kerabari,Gaunpalika,1,11203.0,524 1 05 4 001,NP0105401
52,Letang Nagarpalika,MORANG,Letang,Nagarpalika,1,11202.0,524 1 05 3 001,NP0105301
53,Miklajung Gaunpalika,MORANG,Miklajung,Gaunpalika,1,11201.0,524 1 05 4 002,NP0105402
54,Patahrishanishchare Nagarpalika,MORANG,Patahrishanishchare,Nagarpalika,1,11207.0,524 1 05 3 004,NP0105304
55,Rangeli Nagarpalika,MORANG,Rangeli,Nagarpalika,1,11211.0,524 1 05 3 006,NP0105306
56,Ratuwamai Nagarpalika,MORANG,Ratuwamai,Nagarpalika,1,11209.0,524 1 05 3 008,NP0105308
57,Sundarharaicha Nagarpalika,MORANG,Sundarharaicha,Nagarpalika,1,11204.0,524 1 05 3 002,NP0105302
58,Sunwarshi Nagarpalika,MORANG,Sunwarshi,Nagarpalika,1,11210.0,524 1 05 3 007,NP0105307
59,Uralabari Nagarpalika,MORANG,Uralabari,Nagarpalika,1,11208.0,524 1 05 3 005,NP0105305
60,Barah Nagarpalika,SUNSARI,Barah,Nagarpalika,1,11302.0,524 1 06 3 001,NP0106301
61,Barju Gaunpalika,SUNSARI,Barju,Gaunpalika,1,11312.0,524 1 06 4 006,NP0106406
62,Bhokraha Narsingh Gaunpalika,SUNSARI,Bhokraha Narsingh,Gaunpalika,1,11304.0,524 1 06 4 002,NP0106402
63,Dewanganj Gaunpalika,SUNSARI,Dewanganj,Gaunpalika,1,11311.0,524 1 06 4 005,NP0106405
64,Dharan Upamahanagarpalika,SUNSARI,Dharan,Upamahanagarpalika,1,11301.0,524 1 06 2 001,NP0106201
65,Duhabi Nagarpalika,SUNSARI,Duhabi,Nagarpalika,1,11307.0,524 1 06 3 004,NP0106304
66,Gadhi Gaunpalika,SUNSARI,Gadhi,Gaunpalika,1,11308.0,524 1 06 4 003,NP0106403
67,Harinagar Gaunpalika,SUNSARI,Harinagar,Gaunpalika,1,11310.0,524 1 06 4 004,NP0106404
68,Inaruwa Nagarpalika,SUNSARI,Inaruwa,Nagarpalika,1,11309.0,524 1 06 3 003,NP0106303
69,Itahari Upamahanagarpalika,SUNSARI,Itahari,Upamahanagarpalika,1,11306.0,524 1 06 2 002,NP0106202
70,Koshi Gaunpalika,SUNSARI,Koshi,Gaunpalika,1,11303.0,524 1 06 4 001,NP0106401
71,Ramdhuni Nagarpalika,SUNSARI,Ramdhuni,Nagarpalika,1,11305.0,524 1 06 3 002,NP0106302
72,Koshi Tappu Wildlife Reserve,SUNSARI,Koshi Tappu Wildlife Reserve,Wildlife Reserve,1,,524 1 06 5 995,NP0106595
73,Chaubise Gaunpalika,DHANKUTA,Chaubise,Gaunpalika,1,10707.0,524 1 07 4 004,NP0107404
74,Chhathar Jorpati Gaunpalika,DHANKUTA,Chhathar Jorpati,Gaunpalika,1,10703.0,524 1 07 4 002,NP0107402
75,Dhankuta Nagarpalika,DHANKUTA,Dhankuta,Nagarpalika,1,10704.0,524 1 07 3 003,NP0107303
76,Shahidbhumi Gaunpalika,DHANKUTA,Shahidbhumi,Gaunpalika,1,10705.0,524 1 07 4 001,NP0107401
77,Mahalaxmi Nagarpalika,DHANKUTA,Mahalaxmi,Nagarpalika,1,10701.0,524 1 07 3 001,NP0107301
78,Pakhribas Nagarpalika,DHANKUTA,Pakhribas,Nagarpalika,1,10702.0,524 1 07 3 002,NP0107302
79,Sangurigadhi Gaunpalika,DHANKUTA,Sangurigadhi,Gaunpalika,1,10706.0,524 1 07 4 003,NP0107403
80,Aathrai Gaunpalika,TERHATHUM,Aathrai,Gaunpalika,1,10801.0,524 1 08 4 003,NP0108403
81,Chhathar Gaunpalika,TERHATHUM,Chhathar,Gaunpalika,1,10806.0,524 1 08 4 004,NP0108404
82,Laligurans Nagarpalika,TERHATHUM,Laligurans,Nagarpalika,1,10805.0,524 1 08 3 001,NP0108301
83,Menchayam Gaunpalika,TERHATHUM,Menchayam,Gaunpalika,1,10803.0,524 1 08 4 001,NP0108401
84,Myanglung Nagarpalika,TERHATHUM,Myanglung,Nagarpalika,1,10804.0,524 1 08 3 002,NP0108302
85,Phedap Gaunpalika,TERHATHUM,Phedap,Gaunpalika,1,10802.0,524 1 08 4 002,NP0108402
86,Bhotkhola Gaunpalika,SANKHUWASABHA,Bhotkhola,Gaunpalika,1,10201.0,524 1 09 4 002,NP0109402
87,Chainpur Nagarpalika,SANKHUWASABHA,Chainpur,Nagarpalika,1,10208.0,524 1 09 3 003,NP0109303
88,Chichila Gaunpalika,SANKHUWASABHA,Chichila,Gaunpalika,1,10204.0,524 1 09 4 004,NP0109404
89,Dharmadevi Nagarpalika,SANKHUWASABHA,Dharmadevi,Nagarpalika,1,10210.0,524 1 09 3 004,NP0109304
90,Khandbari Nagarpalika,SANKHUWASABHA,Khandbari,Nagarpalika,1,10206.0,524 1 09 3 001,NP0109301
91,Madi Nagarpalika,SANKHUWASABHA,Madi,Nagarpalika,1,10209.0,524 1 09 3 005,NP0109305
92,Makalu Gaunpalika,SANKHUWASABHA,Makalu,Gaunpalika,1,10202.0,524 1 09 4 001,NP0109401
93,Panchakhapan Nagarpalika,SANKHUWASABHA,Panchakhapan,Nagarpalika,1,10207.0,524 1 09 3 002,NP0109302
94,Sabhapokhari Gaunpalika,SANKHUWASABHA,Sabhapokhari,Gaunpalika,1,10205.0,524 1 09 4 005,NP0109405
95,Silichong Gaunpalika,SANKHUWASABHA,Silichong,Gaunpalika,1,10203.0,524 1 09 4 003,NP0109403
96,Aamchowk Gaunpalika,BHOJPUR,Aamchowk,Gaunpalika,1,10609.0,524 1 10 4 006,NP0110406
97,Arun Gaunpalika,BHOJPUR,Arun,Gaunpalika,1,10605.0,524 1 10 4 003,NP0110403
98,Bhojpur Nagarpalika,BHOJPUR,Bhojpur,Nagarpalika,1,10604.0,524 1 10 3 002,NP0110302
99,Hatuwagadhi Gaunpalika,BHOJPUR,Hatuwagadhi,Gaunpalika,1,10608.0,524 1 10 4 007,NP0110407
100,Pauwadungma Gaunpalika,BHOJPUR,Pauwadungma,Gaunpalika,1,10606.0,524 1 10 4 005,NP0110405
101,Ramprasad Rai Gaunpalika,BHOJPUR,Ramprasad Rai,Gaunpalika,1,10607.0,524 1 10 4 004,NP0110404
102,Salpasilichho Gaunpalika,BHOJPUR,Salpasilichho,Gaunpalika,1,10602.0,524 1 10 4 001,NP0110401
103,Shadananda Nagarpalika,BHOJPUR,Shadananda,Nagarpalika,1,10601.0,524 1 10 3 001,NP0110301
104,Tyamkemaiyung Gaunpalika,BHOJPUR,Tyamkemaiyung,Gaunpalika,1,10603.0,524 1 10 4 002,NP0110402
105,Thulung Dudhkoshi Gaunpalika,SOLUKHUMBU,Thulung Dudhkoshi,Gaunpalika,1,10305.0,524 1 11 4 006,NP0111406
106,Dudhkoshi Gaunpalika,SOLUKHUMBU,Dudhkoshi,Gaunpalika,1,10304.0,524 1 11 4 004,NP0111404
107,Khumbupasanglahmu Gaunpalika,SOLUKHUMBU,Khumbupasanglahmu,Gaunpalika,1,10301.0,524 1 11 4 001,NP0111401
108,Likhupike Gaunpalika,SOLUKHUMBU,Likhupike,Gaunpalika,1,10308.0,524 1 11 4 003,NP0111403
109,Mahakulung Gaunpalika,SOLUKHUMBU,Mahakulung,Gaunpalika,1,10302.0,524 1 11 4 002,NP0111402
110,Nechasalyan Gaunpalika,SOLUKHUMBU,Nechasalyan,Gaunpalika,1,10306.0,524 1 11 4 005,NP0111405
111,Solududhakunda Nagarpalika,SOLUKHUMBU,Solududhakunda,Nagarpalika,1,10307.0,524 1 11 3 001,NP0111301
112,Sotang Gaunpalika,SOLUKHUMBU,Sotang,Gaunpalika,1,10303.0,524 1 11 4 007,NP0111407
113,Champadevi Gaunpalika,OKHALDHUNGA,Champadevi,Gaunpalika,1,10406.0,524 1 13 4 004,NP0113404
114,Chisankhugadhi Gaunpalika,OKHALDHUNGA,Chisankhugadhi,Gaunpalika,1,10401.0,524 1 13 4 006,NP0113406
115,Khijidemba Gaunpalika,OKHALDHUNGA,Khijidemba,Gaunpalika,1,10404.0,524 1 13 4 001,NP0113401
116,Likhu Gaunpalika,OKHALDHUNGA,Likhu,Gaunpalika,1,10405.0,524 1 13 4 002,NP0113402
117,Manebhanjyang Gaunpalika,OKHALDHUNGA,Manebhanjyang,Gaunpalika,1,10408.0,524 1 13 4 007,NP0113407
118,Molung Gaunpalika,OKHALDHUNGA,Molung,Gaunpalika,1,10403.0,524 1 13 4 003,NP0113403
119,Siddhicharan Nagarpalika,OKHALDHUNGA,Siddhicharan,Nagarpalika,1,10402.0,524 1 13 3 001,NP0113301
120,Sunkoshi Gaunpalika,OKHALDHUNGA,Sunkoshi,Gaunpalika,1,10407.0,524 1 13 4 005,NP0113405
121,Ainselukhark Gaunpalika,KHOTANG,Ainselukhark,Gaunpalika,1,10502.0,524 1 12 4 001,NP0112401
122,Barahapokhari Gaunpalika,KHOTANG,Barahapokhari,Gaunpalika,1,10510.0,524 1 12 4 007,NP0112407
123,Diprung Gaunpalika,KHOTANG,Diprung,Gaunpalika,1,10507.0,524 1 12 4 004,NP0112404
124,Halesi Tuwachung Nagarpalika,KHOTANG,Halesi Tuwachung,Nagarpalika,1,10504.0,524 1 12 3 001,NP0112301
125,Jantedhunga Gaunpalika,KHOTANG,Jantedhunga,Gaunpalika,1,10509.0,524 1 12 4 008,NP0112408
126,Kepilasagadhi Gaunpalika,KHOTANG,Kepilasagadhi,Gaunpalika,1,10501.0,524 1 12 4 002,NP0112402
127,Khotehang Gaunpalika,KHOTANG,Khotehang,Gaunpalika,1,10508.0,524 1 12 4 006,NP0112406
128,Rawa Besi Gaunpalika,KHOTANG,Rawa Besi,Gaunpalika,1,10503.0,524 1 12 4 003,NP0112403
129,Rupakot Majhuwagadhi Nagarpalika,KHOTANG,Rupakot Majhuwagadhi,Nagarpalika,1,10505.0,524 1 12 3 002,NP0112302
130,Sakela Gaunpalika,KHOTANG,Sakela,Gaunpalika,1,10506.0,524 1 12 4 005,NP0112405
131,Belaka Nagarpalika,UDAYAPUR,Belaka,Nagarpalika,1,11401.0,524 1 14 3 004,NP0114304
132,Chaudandigadhi Nagarpalika,UDAYAPUR,Chaudandigadhi,Nagarpalika,1,11402.0,524 1 14 3 003,NP0114303
133,Katari Nagarpalika,UDAYAPUR,Katari,Nagarpalika,1,11407.0,524 1 14 3 001,NP0114301
134,Rautamai Gaunpalika,UDAYAPUR,Rautamai,Gaunpalika,1,11404.0,524 1 14 4 004,NP0114404
135,Sunkoshi Gaunpalika,UDAYAPUR,Sunkoshi,Gaunpalika,1,11405.0,524 1 14 4 002,NP0114402
136,Tapli Gaunpalika,UDAYAPUR,Tapli,Gaunpalika,1,11406.0,524 1 14 4 001,NP0114401
137,Triyuga Nagarpalika,UDAYAPUR,Triyuga,Nagarpalika,1,11403.0,524 1 14 3 002,NP0114302
138,Udayapurgadhi Gaunpalika,UDAYAPUR,Udayapurgadhi,Gaunpalika,1,11408.0,524 1 14 4 003,NP0114403
139,Koshi Tappu Wildlife Reserve,UDAYAPUR,Koshi Tappu Wildlife Reserve,Wildlife Reserve,1,,524 1 14 5 995,NP0114595
140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,20103.0,524 2 15 4 002,NP0215402
141,Balan Bihul Gaunpalika,SAPTARI,Balan Bihul,Gaunpalika,2,20108.0,524 2 15 4 004,NP0215404
142,Belhi Chapena Gaunpalika,SAPTARI,Belhi Chapena,Gaunpalika,2,20111.0,524 2 15 4 006,NP0215406
143,Bishnupur Gaunpalika,SAPTARI,Bishnupur,Gaunpalika,2,20112.0,524 2 15 4 007,NP0215407
144,Bode Barsain Nagarpalika,SAPTARI,Bode Barsain,Nagarpalika,2,20109.0,524 2 15 3 006,NP0215306
145,Chhinnamasta Gaunpalika,SAPTARI,Chhinnamasta,Gaunpalika,2,20118.0,524 2 15 4 008,NP0215408
146,Dakneshwori Nagarpalika,SAPTARI,Dakneshwori,Nagarpalika,2,20110.0,524 2 15 3 007,NP0215307
147,Hanumannagar Kankalini Nagarpalika,SAPTARI,Hanumannagar Kankalini,Nagarpalika,2,20116.0,524 2 15 3 009,NP0215309
148,Kanchanrup Nagarpalika,SAPTARI,Kanchanrup,Nagarpalika,2,20102.0,524 2 15 3 005,NP0215305
149,Khadak Nagarpalika,SAPTARI,Khadak,Nagarpalika,2,20106.0,524 2 15 3 002,NP0215302
150,Mahadeva Gaunpalika,SAPTARI,Mahadeva,Gaunpalika,2,20114.0,524 2 15 4 005,NP0215405
151,Rajbiraj Nagarpalika,SAPTARI,Rajbiraj,Nagarpalika,2,20113.0,524 2 15 3 008,NP0215308
152,Rupani Gaunpalika,SAPTARI,Rupani,Gaunpalika,2,20104.0,524 2 15 4 001,NP0215401
153,Saptakoshi Nagarpalika,SAPTARI,Saptakoshi,Nagarpalika,2,20101.0,524 2 15 3 004,NP0215304
154,Shambhunath Nagarpalika,SAPTARI,Shambhunath,Nagarpalika,2,20105.0,524 2 15 3 003,NP0215303
155,Surunga Nagarpalika,SAPTARI,Surunga,Nagarpalika,2,20107.0,524 2 15 3 001,NP0215301
156,Tilathi Koiladi Gaunpalika,SAPTARI,Tilathi Koiladi,Gaunpalika,2,20117.0,524 2 15 4 009,NP0215409
157,Tirahut Gaunpalika,SAPTARI,Tirahut,Gaunpalika,2,20115.0,524 2 15 4 003,NP0215403
158,Koshi Tappu Wildlife Reserve,SAPTARI,Koshi Tappu Wildlife Reserve,Wildlife Reserve,2,,524 2 15 5 995,NP0215595
159,Arnama Gaunpalika,SIRAHA,Arnama,Gaunpalika,2,20209.0,524 2 16 4 003,NP0216403
160,Aurahi Gaunpalika,SIRAHA,Aurahi,Gaunpalika,2,20216.0,524 2 16 4 004,NP0216404
161,Bariyarpatti Gaunpalika,SIRAHA,Bariyarpatti,Gaunpalika,2,20215.0,524 2 16 4 005,NP0216405
162,Bhagawanpur Gaunpalika,SIRAHA,Bhagawanpur,Gaunpalika,2,20213.0,524 2 16 4 009,NP0216409
163,Bishnupur Gaunpalika,SIRAHA,Bishnupur,Gaunpalika,2,20208.0,524 2 16 4 002,NP0216402
164,Dhangadhimai Nagarpalika,SIRAHA,Dhangadhimai,Nagarpalika,2,20202.0,524 2 16 3 004,NP0216304
165,Golbazar Nagarpalika,SIRAHA,Golbazar,Nagarpalika,2,20203.0,524 2 16 3 003,NP0216303
166,Kalyanpur Nagarpalika,SIRAHA,Kalyanpur,Nagarpalika,2,20206.0,524 2 16 3 006,NP0216306
167,Karjanha Nagarpalika,SIRAHA,Karjanha,Nagarpalika,2,20205.0,524 2 16 3 001,NP0216301
168,Lahan Nagarpalika,SIRAHA,Lahan,Nagarpalika,2,20201.0,524 2 16 3 005,NP0216305
169,Laxmipur Patari Gaunpalika,SIRAHA,Laxmipur Patari,Gaunpalika,2,20211.0,524 2 16 4 006,NP0216406
170,Mirchaiya Nagarpalika,SIRAHA,Mirchaiya,Nagarpalika,2,20204.0,524 2 16 3 002,NP0216302
171,Naraha Gaunpalika,SIRAHA,Naraha,Gaunpalika,2,20207.0,524 2 16 4 001,NP0216401
172,Nawarajpur Gaunpalika,SIRAHA,Nawarajpur,Gaunpalika,2,20214.0,524 2 16 4 007,NP0216407
173,Sakhuwanankarkatti Gaunpalika,SIRAHA,Sakhuwanankarkatti,Gaunpalika,2,20212.0,524 2 16 4 008,NP0216408
174,Siraha Nagarpalika,SIRAHA,Siraha,Nagarpalika,2,20217.0,524 2 16 3 008,NP0216308
175,Sukhipur Nagarpalika,SIRAHA,Sukhipur,Nagarpalika,2,20210.0,524 2 16 3 007,NP0216307
176,Aaurahi Gaunpalika,DHANUSHA,Aaurahi,Gaunpalika,2,20314.0,524 2 17 4 003,NP0217403
177,Bateshwor Gaunpalika,DHANUSHA,Bateshwor,Gaunpalika,2,20304.0,524 2 17 4 001,NP0217401
178,Bideha Nagarpalika,DHANUSHA,Bideha,Nagarpalika,2,20313.0,524 2 17 3 010,NP0217310
179,Chhireshwornath Nagarpalika,DHANUSHA,Chhireshwornath,Nagarpalika,2,20305.0,524 2 17 3 003,NP0217303
180,Dhanauji Gaunpalika,DHANUSHA,Dhanauji,Gaunpalika,2,20316.0,524 2 17 4 004,NP0217404
181,Dhanusadham Nagarpalika,DHANUSHA,Dhanusadham,Nagarpalika,2,20302.0,524 2 17 3 004,NP0217304
182,Ganeshman Charnath Nagarpalika,DHANUSHA,Ganeshman Charnath,Nagarpalika,2,20301.0,524 2 17 3 002,NP0217302
183,Hansapur Nagarpalika,DHANUSHA,Hansapur,Nagarpalika,2,20308.0,524 2 17 3 007,NP0217307
184,Janaknandani Gaunpalika,DHANUSHA,Janaknandani,Gaunpalika,2,20312.0,524 2 17 4 006,NP0217406
185,Janakpur Upamahanagarpalika,DHANUSHA,Janakpur,Upamahanagarpalika,2,20315.0,524 2 17 2 001,NP0217201
186,Kamala Nagarpalika,DHANUSHA,Kamala,Nagarpalika,2,20311.0,524 2 17 3 011,NP0217311
187,Lakshminiya Gaunpalika,DHANUSHA,Lakshminiya,Gaunpalika,2,20306.0,524 2 17 4 002,NP0217402
188,Mithila Nagarpalika,DHANUSHA,Mithila,Nagarpalika,2,20303.0,524 2 17 3 001,NP0217301
189,Mithila Bihari Nagarpalika,DHANUSHA,Mithila Bihari,Nagarpalika,2,20307.0,524 2 17 3 005,NP0217305
190,Mukhiyapatti Musarmiya Gaunpalika,DHANUSHA,Mukhiyapatti Musarmiya,Gaunpalika,2,20318.0,524 2 17 4 005,NP0217405
191,Nagarain Nagarpalika,DHANUSHA,Nagarain,Nagarpalika,2,20317.0,524 2 17 3 009,NP0217309
